,cik_No1,cik_No2,count
255,712050,1364742,3437
256,712050,1373442,1569
257,712050,1374170,4
258,712050,1376113,132
259,712050,1388409,1
260,712050,1399794,480
261,712050,1411530,178
262,712050,1415996,377
263,712050,1418329,1
264,712050,1447946,21
265,712050,1454759,104
266,712050,1463559,51
267,712050,1509974,260
268,712050,1510668,1
269,712050,1535811,473
270,712050,1539994,1
271,712050,1541897,685
272,712050,1548916,1028
273,712050,1582202,1
274,712050,1595509,131
275,712050,1603001,1
276,712050,1609674,1
277,712050,1615135,126
278,712050,1633343,1
279,712050,1664713,1
280,712050,1666736,3
281,712050,1672067,186
282,712050,1686444,300
283,712050,1697300,522
284,712050,1698006,1
285,712050,1698219,200
286,712050,1714590,38
287,712050,1715635,1
288,712050,1722638,133
289,712050,1723925,84
290,712050,1734493,31
291,712050,1764059,180
292,712050,1764403,11
293,712050,1767602,294
294,712050,1768095,233
295,712050,1794820,2
296,712050,1799957,398
297,712050,1800620,224
298,712050,1802080,221
299,712050,1802225,362
300,712050,1802277,120
301,712050,1803295,50
302,712050,1803898,238
303,712050,1825611,111
304,712050,1832158,99
305,712050,1832439,9
306,712050,1841757,56
307,712050,1852993,165
308,713676,5272,1
309,713676,16972,56
310,713676,35527,12591
311,713676,712050,2229
312,713676,713676,20736
313,713676,732905,12
314,713676,733986,1280
315,713676,773411,7434
316,713676,775368,32
317,713676,857508,62
318,713676,859139,171
319,713676,914933,3
320,713676,944804,107
321,713676,1002672,758
322,713676,1008322,41
323,713676,1056527,14
324,713676,1078246,75
325,713676,1080107,8891
326,713676,1082621,91
327,713676,1105837,167
328,713676,1119032,24
329,713676,1130787,1007
330,713676,1140771,568
331,713676,1166588,113
332,713676,1271347,395
333,713676,1285973,645
334,713676,1297376,1174
335,713676,1360798,2700
336,713676,1364742,20567
337,713676,1373442,8789
338,713676,1374170,38
339,713676,1376113,690
340,713676,1388409,1
341,713676,1394866,2
342,713676,1399794,2782
343,713676,1411530,1128
344,713676,1415996,2128
345,713676,1418329,1
346,713676,1447946,147
347,713676,1454759,374
348,713676,1463559,257
349,713676,1508097,4
350,713676,1509974,1356
351,713676,1510668,1
352,713676,1535811,2607
353,713676,1539994,1
354,713676,1541897,4073
355,713676,1548916,5799
356,713676,1582202,24
357,713676,1595509,679
358,713676,1603001,2
359,713676,1609674,3
360,713676,1615135,668
361,713676,1633343,1
362,713676,1664713,1
363,713676,1666736,12
364,713676,1672067,831
365,713676,1686444,1842
366,713676,1695426,1
367,713676,1697300,2775
368,713676,1698006,1
369,713676,1698219,1107
370,713676,1714590,254
371,713676,1715635,1
372,713676,1722638,646
373,713676,1723925,439
374,713676,1728120,5
375,713676,1734493,163
376,713676,1764059,1074
377,713676,1764403,63
378,713676,1767602,1733
379,713676,1768095,1291
380,713676,1772940,1
381,713676,1794820,5
382,713676,1799957,2459
383,713676,1800620,1291
384,713676,1802080,1309
385,713676,1802225,2025
386,713676,1802277,410
387,713676,1803295,104
388,713676,1803898,1229
389,713676,1825611,617
390,713676,1832158,572
391,713676,1832439,47
392,713676,1840750,3
393,713676,1841757,177
394,713676,1852993,984
395,732905,16972,1
396,732905,713676,2
397,732905,773411,9
398,732905,775368,3
399,732905,857508,4
400,732905,1130787,1
401,732905,1166588,1
402,732905,1539994,1
403,733986,16972,9
404,733986,35527,1543
405,733986,712050,269
406,733986,713676,2020
407,733986,733986,176
408,733986,773411,813
409,733986,859139,24
410,733986,1002672,108
411,733986,1008322,4
412,733986,1078246,9
413,733986,1080107,1155
414,733986,1082621,19
415,733986,1105837,22
416,733986,1130787,129
417,733986,1140771,69
418,733986,1271347,46
419,733986,1285973,84
420,733986,1297376,130
421,733986,1360798,417
422,733986,1364742,2490
423,733986,1373442,1110
424,733986,1376113,96
425,733986,1388409,1
426,733986,1399794,424
427,733986,1411530,145
428,733986,1415996,277
429,733986,1447946,11
430,733986,1454759,40
431,733986,1463559,31
432,733986,1508097,1
433,733986,1509974,195
434,733986,1535811,325
435,733986,1541897,575
436,733986,1548916,688
437,733986,1595509,93
438,733986,1615135,83
439,733986,1672067,113
440,733986,1686444,270
441,733986,1697300,416
442,733986,1698219,156
443,733986,1714590,19
444,733986,1722638,105
445,733986,1723925,72
446,733986,1728120,1
447,733986,1734493,16
448,733986,1764059,149
449,733986,1764403,11
450,733986,1767602,251
451,733986,1768095,198
452,733986,1799957,301
453,733986,1800620,169
454,733986,1802080,192
455,733986,1802225,246
456,733986,1802277,49
457,733986,1803295,14
458,733986,1803898,164
459,733986,1825611,102
460,733986,1832158,48
461,733986,1832439,10
462,733986,1841757,34
463,733986,1852993,124
464,773411,5272,1
465,773411,16972,19
466,773411,35527,4162
467,773411,712050,831
468,773411,713676,5611
469,773411,733986,415
470,773411,773411,2340
471,773411,775368,25
472,773411,857508,36
473,773411,859139,57
474,773411,914933,1
475,773411,944804,44
476,773411,1002672,261
477,773411,1008322,28
478,773411,1056527,9
479,773411,1078246,60
480,773411,1080107,3003
481,773411,1082621,30
482,773411,1105837,49
483,773411,1130787,356
484,773411,1140771,186
485,773411,1166588,41
486,773411,1271347,146
487,773411,1285973,227
488,773411,1297376,386
489,773411,1360798,964
490,773411,1364742,6875
491,773411,1373442,3061
492,773411,1374170,7
493,773411,1376113,296
494,773411,1388409,1
495,773411,1394866,1
496,773411,1399794,914
497,773411,1411530,359
498,773411,1415996,704
499,773411,1418329,1
500,773411,1447946,46
501,773411,1454759,174
502,773411,1463559,90
503,773411,1509974,494
504,773411,1510668,1
505,773411,1535811,906
506,773411,1539994,1
507,773411,1541897,1385
508,773411,1548916,1940
509,773411,1582202,3
510,773411,1595509,242
511,773411,1603001,1
512,773411,1609674,2
513,773411,1615135,273
514,773411,1633343,1
515,773411,1664713,1
