,cik_No1,cik_No2
317,713676,857508
318,713676,859139
319,713676,914933
320,713676,944804
321,713676,1002672
322,713676,1008322
323,713676,1056527
324,713676,1078246
325,713676,1080107
326,713676,1082621
327,713676,1105837
328,713676,1119032
329,713676,1130787
330,713676,1140771
331,713676,1166588
332,713676,1271347
333,713676,1285973
334,713676,1297376
335,713676,1360798
336,713676,1364742
337,713676,1373442
338,713676,1374170
339,713676,1376113
340,713676,1388409
341,713676,1394866
342,713676,1399794
343,713676,1411530
344,713676,1415996
345,713676,1418329
346,713676,1447946
347,713676,1454759
348,713676,1463559
349,713676,1508097
350,713676,1509974
351,713676,1510668
352,713676,1535811
353,713676,1539994
354,713676,1541897
355,713676,1548916
356,713676,1582202
357,713676,1595509
358,713676,1603001
359,713676,1609674
360,713676,1615135
361,713676,1633343
362,713676,1664713
363,713676,1666736
364,713676,1672067
365,713676,1686444
366,713676,1695426
367,713676,1697300
368,713676,1698006
369,713676,1698219
370,713676,1714590
371,713676,1715635
372,713676,1722638
373,713676,1723925
374,713676,1728120
375,713676,1734493
376,713676,1764059
377,713676,1764403
378,713676,1767602
379,713676,1768095
380,713676,1772940
381,713676,1794820
382,713676,1799957
383,713676,1800620
384,713676,1802080
385,713676,1802225
386,713676,1802277
387,713676,1803295
388,713676,1803898
389,713676,1825611
390,713676,1832158
391,713676,1832439
392,713676,1840750
393,713676,1841757
394,713676,1852993
395,732905,16972
396,732905,713676
397,732905,773411
398,732905,775368
399,732905,857508
400,732905,1130787
401,732905,1166588
402,732905,1539994
403,733986,16972
404,733986,35527
405,733986,712050
406,733986,713676
407,733986,733986
408,733986,773411
409,733986,859139
410,733986,1002672
411,733986,1008322
412,733986,1078246
413,733986,1080107
414,733986,1082621
415,733986,1105837
416,733986,1130787
417,733986,1140771
418,733986,1271347
419,733986,1285973
420,733986,1297376
421,733986,1360798
422,733986,1364742
423,733986,1373442
424,733986,1376113
425,733986,1388409
426,733986,1399794
427,733986,1411530
428,733986,1415996
429,733986,1447946
430,733986,1454759
431,733986,1463559
432,733986,1508097
433,733986,1509974
434,733986,1535811
435,733986,1541897
436,733986,1548916
437,733986,1595509
438,733986,1615135
439,733986,1672067
440,733986,1686444
441,733986,1697300
442,733986,1698219
443,733986,1714590
444,733986,1722638
445,733986,1723925
446,733986,1728120
447,733986,1734493
448,733986,1764059
449,733986,1764403
450,733986,1767602
451,733986,1768095
452,733986,1799957
453,733986,1800620
454,733986,1802080
455,733986,1802225
456,733986,1802277
457,733986,1803295
458,733986,1803898
459,733986,1825611
460,733986,1832158
461,733986,1832439
462,733986,1841757
463,733986,1852993
464,773411,5272
465,773411,16972
466,773411,35527
467,773411,712050
468,773411,713676
469,773411,733986
470,773411,773411
471,773411,775368
472,773411,857508
473,773411,859139
474,773411,914933
475,773411,944804
476,773411,1002672
477,773411,1008322
478,773411,1056527
479,773411,1078246
480,773411,1080107
481,773411,1082621
482,773411,1105837
483,773411,1130787
484,773411,1140771
485,773411,1166588
486,773411,1271347
487,773411,1285973
488,773411,1297376
489,773411,1360798
490,773411,1364742
491,773411,1373442
492,773411,1374170
493,773411,1376113
494,773411,1388409
495,773411,1394866
496,773411,1399794
497,773411,1411530
498,773411,1415996
499,773411,1418329
500,773411,1447946
501,773411,1454759
502,773411,1463559
503,773411,1509974
504,773411,1510668
505,773411,1535811
506,773411,1539994
507,773411,1541897
508,773411,1548916
509,773411,1582202
510,773411,1595509
511,773411,1603001
512,773411,1609674
513,773411,1615135
514,773411,1633343
515,773411,1664713
516,773411,1666736
517,773411,1672067
518,773411,1686444
519,773411,1697300
520,773411,1698006
521,773411,1698219
522,773411,1714590
523,773411,1715635
524,773411,1722638
525,773411,1723925
526,773411,1728120
527,773411,1734493
528,773411,1764059
529,773411,1764403
530,773411,1767602
531,773411,1768095
532,773411,1794820
533,773411,1799957
534,773411,1800620
535,773411,1802080
536,773411,1802225
537,773411,1802277
538,773411,1803295
